"","Incident ID","Date","State","CD","City or county","Address","Lat","Lng","# Killed","# Injured","# Casualty","Incident characteristics","Shot - Wounded/Injured","Shot - Dead (murder, accidental, suicide)","Suicide^","Suicide - Attempt","Murder/Suicide","Attempted Murder/Suicide (one variable unsuccessful)","Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","Mass Murder (4+ deceased victims excluding the subject/suspect/perpetrator , one location)","Spree Shooting (multiple victims, multiple locations)","Accidental Shooting","Accidental Shooting - Death","Accidental Shooting - Injury","Accidental Shooting at a Business","Accidental/Negligent Discharge","Stray bullet","Child Involved Incident","Child killed (not child shooter)","Child injured (not child shooter)","School Incident","School Shooting - elementary/secondary school","School Shooting - university/college","LOCKDOWN/ALERT ONLY:  No GV Incident Occurred Onsite","Home Invasion","Home Invasion - Resident killed","Home Invasion - Resident injured","Home Invasion - subject/suspect/perpetrator killed","Defensive Use","Defensive Use - Victim stops crime","Defensive Use - crime occurs, victim shoots subject/suspect/perpetrator","Defensive Use - subject/suspect/perpetrator injured","Defensive Use - Stand Your Ground/Castle Doctrine established","Defensive Use - Shots fired, no injury/death","Defensive Use - No shots fired","Defensive Use - WITHOUT a gun","Defensive Use - Good Samaritan/Third Party","Officer Involved Incident","Officer Involved Shooting - Officer shot","Officer Involved Shooting - Officer killed","Officer Involved Shooting - K9/Mounted killed","Officer Involved Shooting - subject/suspect/perpetrator shot","Officer Involved Shooting - subject/suspect/perpetrator killed","Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff","Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff","Officer Involved Shooting - Shots fired, no injury","Officer Involved Shooting - Bystander shot","Officer Involved Shooting - Bystander killed","Police Targeted","Drive-by (car to street, car to car)","Road rage","Car-jacking","Kidnapping/abductions/hostage","Gang involvement","Drug involvement","Hate crime","Terrorism Involvement","Political Violence","Possession (gun(s) found during commission of other crimes)","Workplace shooting (disgruntled employee)","Domestic Violence","House party / Block Party / Park Party","Bar/club incident - in or around establishment","Armed robbery with injury/death and/or evidence of DGU found","Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator )","Shootout (where VENN diagram of shooters and victims overlap)","Gun(s) stolen from owner","Concealed Carry License - Victim","Concealed Carry License - Perpetrator","Brandishing/flourishing/open carry/lost/found","BB/Pellet/Replica gun","Ghost gun","Criminal act with stolen gun","Guns stolen from law enforcement","Possession of gun by felon or prohibited person","Unlawful purchase/sale","Stolen/Illegally owned gun{s} recovered during arrest/warrant","ATF/LE Confiscation/Raid/Arrest","Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)","abc","abc2018","abc2017","abc2016","abc2015","abc2014","abc2013","Year"
"1",460726,2013-01-01,"California","43","Hawthorne","13500 block of Cerise Avenue",33.909,-118.333,1,3,4,"Shot - Wounded/Injured,Shot - Dead (murder, accidental, suicide),Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location),Gang involvement",1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2013
"2",461105,2013-01-01,"Pennsylvania","14","Mckeesport","1506 Versailles Avenue and Coursin Street",40.3467,-79.8559,0,4,4,"Shot - Wounded/Injured,Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location),Possession (gun(s) found during commission of other crimes),Possession of gun by felon or prohibited person",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,1,2013
"3",478948,2013-01-07,"Oklahoma","1","Tulsa","6000 block of South Owasso",36.2405,-95.9768,4,0,4,"Shot - Dead (murder, accidental, suicide),Home Invasion,Home Invasion - Resident killed,Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location),Armed robbery with injury/death and/or evidence of DGU found",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2013
"4",479363,2013-01-19,"New Mexico","1","Albuquerque","2806 Long Lane",34.9767,-106.717,5,0,5,"Shot - Dead (murder, accidental, suicide),Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location),Domestic Violence",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,2013
"5",479374,2013-01-21,"Louisiana","2","New Orleans","LaSalle Street and Martin Luther King Jr. Boulevard",29.9435,-90.0836,0,5,5,"Shot - Wounded/Injured,Drive-by (car to street, car to car),Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2013
"6",479389,2013-01-21,"California","9","Brentwood","1100 block of Breton Drive",37.9656,-121.718,0,4,4,"Shot - Wounded/Injured,Drive-by (car to street, car to car),Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location),Gang involvement",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2013
"7",491674,2013-01-23,"Tennessee","3","Chattanooga","1501 Dodds Ave",35.0221,-85.2697,1,3,4,"Shot - Wounded/Injured,Shot - Dead (murder, accidental, suicide),Murder/Suicide,Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2013
"8",492151,2013-01-23,"Maryland","7","Baltimore","1500 block of W. Fayette St.",39.2899,-76.6412,1,6,7,"Shot - Wounded/Injured,Shot - Dead (murder, accidental, suicide),Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2013
"9",479413,2013-01-25,"Missouri","1","Saint Louis","W Florissant Ave and Riverview Blvd",38.7067,-90.2494,1,3,4,"Shot - Wounded/Injured,Shot - Dead (murder, accidental, suicide),Drive-by (car to street, car to car),Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location),Gang involvement",1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2013
"10",479460,2013-01-26,"Ohio","8","Springfield","601 West Main Street",39.9252,-83.8218,1,3,4,"Shot - Wounded/Injured,Shot - Dead (murder, accidental, suicide),Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location),Bar/club incident - in or around establishment",1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2013
"11",479554,2013-01-26,"District of Columbia","1","Washington","2403 Benning Road Northeast",38.8978,-76.9717,0,5,5,"Shot - Wounded/Injured,Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location),Bar/club incident - in or around establishment",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2013
